run_tag	dataset	scan	mode	n_gt	n_pred	gt_coverage	pred_purity	p@0.25	r@0.25	f1@0.25	miou@0.25	tp@0.25	fp@0.25	fn@0.25	p@0.5	r@0.5	f1@0.5	miou@0.5	tp@0.5	fp@0.5	fn@0.5	p@0.75	r@0.75	f1@0.75	miou@0.75	tp@0.75	fp@0.75	fn@0.75
2026-05-31_183612_1547137	ScanNet	scene0117_00	objects-only	39	48	0.563472	0.507580	0.707317	0.743590	0.725000	0.700857	29	12	10	0.476190	0.512821	0.493827	0.851568	20	22	19	0.302326	0.333333	0.317073	0.951723	13	30	26
2026-05-31_183612_1547137	ScanNet	scene0118_00	objects-only	11	32	0.671243	0.592154	0.750000	0.818182	0.782609	0.798299	9	3	2	0.666667	0.727273	0.695652	0.856419	8	4	3	0.545455	0.545455	0.545455	0.911559	6	5	5
2026-05-31_183612_1547137	ScanNet	scene0118_01	objects-only	12	22	0.629122	0.546582	0.769231	0.833333	0.800000	0.703264	10	3	2	0.666667	0.666667	0.666667	0.772368	8	4	4	0.384615	0.416667	0.400000	0.895897	5	8	7
2026-05-31_183612_1547137	ScanNet	scene0118_02	objects-only	13	28	0.422899	0.277141	0.400000	0.615385	0.484848	0.610813	8	12	5	0.250000	0.384615	0.303030	0.786726	5	15	8	0.157895	0.230769	0.187500	0.928239	3	16	10
2026-05-31_183612_1547137	ScanNet	scene0120_01	objects-only	16	25	0.537857	0.521257	0.687500	0.687500	0.687500	0.699635	11	5	5	0.562500	0.562500	0.562500	0.776685	9	7	7	0.235294	0.250000	0.242424	0.963412	4	13	12
2026-05-31_183612_1547137	ScanNet	scene0143_00	objects-only	17	24	0.612715	0.575360	0.684211	0.764706	0.722222	0.756537	13	6	4	0.578947	0.647059	0.611111	0.836183	11	8	6	0.400000	0.470588	0.432432	0.918018	8	12	9
2026-05-31_183612_1547137	ScanNet	scene0150_00	objects-only	11	29	0.639080	0.467745	0.687500	1.000000	0.814815	0.639080	11	5	0	0.500000	0.727273	0.592593	0.769321	8	8	3	0.157895	0.272727	0.200000	0.914473	3	16	8
2026-05-31_183612_1547137	ScanNet	scene0150_01	objects-only	10	31	0.706448	0.482848	0.625000	1.000000	0.769231	0.706448	10	6	0	0.470588	0.800000	0.592593	0.774404	8	9	2	0.166667	0.300000	0.214286	0.935488	3	15	7
2026-05-31_183612_1547137	ScanNet	scene0150_02	objects-only	7	16	0.683090	0.483958	0.583333	1.000000	0.736842	0.683090	7	5	0	0.461538	0.857143	0.600000	0.738220	6	7	1	0.230769	0.428571	0.300000	0.885118	3	10	4
2026-05-31_183612_1547137	ScanNet	scene0153_00	objects-only	19	15	0.339822	0.613190	0.777778	0.368421	0.500000	0.700798	7	2	12	0.666667	0.315789	0.428571	0.755055	6	3	13	0.300000	0.157895	0.206897	0.897199	3	7	16
2026-05-31_183612_1547137	ScanNet	scene0160_03	objects-only	12	18	0.611880	0.575107	0.692308	0.750000	0.720000	0.788812	9	4	3	0.538462	0.583333	0.560000	0.891291	7	6	5	0.428571	0.500000	0.461538	0.927851	6	8	6
2026-05-31_183612_1547137	ScanNet	scene0160_04	objects-only	12	25	0.636769	0.530640	0.588235	0.833333	0.689655	0.746131	10	7	2	0.500000	0.666667	0.571429	0.851492	8	8	4	0.352941	0.500000	0.413793	0.941097	6	11	6
2026-05-31_183612_1547137	ScanNet	scene0161_00	objects-only	7	19	0.755519	0.520371	0.700000	1.000000	0.823529	0.755519	7	3	0	0.500000	0.857143	0.631579	0.830043	6	6	1	0.333333	0.571429	0.421053	0.923436	4	8	3
2026-05-31_183612_1547137	ScanNet	scene0161_01	objects-only	8	24	0.627921	0.519037	0.600000	0.750000	0.666667	0.799121	6	4	2	0.545455	0.750000	0.631579	0.799121	6	5	2	0.250000	0.375000	0.300000	0.981583	3	9	5
2026-05-31_183612_1547137	ScanNet	scene0161_02	objects-only	6	17	0.873806	0.608881	0.750000	1.000000	0.857143	0.873806	6	2	0	0.666667	1.000000	0.800000	0.873806	6	3	0	0.400000	0.666667	0.500000	0.957298	4	6	2
2026-05-31_183612_1547137	ScanNet	scene0182_02	objects-only	13	24	0.472573	0.425193	0.636364	0.538462	0.583333	0.735571	7	4	6	0.400000	0.307692	0.347826	1.000000	4	6	9	0.400000	0.307692	0.347826	1.000000	4	6	9
2026-05-31_183612_1547137	ScanNet	scene0183_00	objects-only	10	11	0.332457	0.444099	0.571429	0.400000	0.470588	0.670173	4	3	6	0.428571	0.300000	0.352941	0.773626	3	4	7	0.125000	0.100000	0.111111	0.897163	1	7	9
2026-05-31_183612_1547137	ScanNet	scene0193_01	objects-only	6	20	0.751457	0.842396	1.000000	1.000000	1.000000	0.751457	6	0	0	1.000000	0.833333	0.909091	0.842396	5	0	1	0.375000	0.500000	0.428571	0.961610	3	5	3
2026-05-31_183612_1547137	ScanNet	scene0230_00	objects-only	23	50	0.542623	0.404551	0.562500	0.782609	0.654545	0.615480	18	14	5	0.264706	0.391304	0.315789	0.847650	9	25	14	0.205882	0.304348	0.245614	0.895975	7	27	16
2026-05-31_183612_1547137	ScanNet	scene0234_00	objects-only	11	14	0.513513	0.647855	0.875000	0.636364	0.736842	0.732754	7	1	4	0.625000	0.454545	0.526316	0.833994	5	3	6	0.444444	0.363636	0.400000	0.878179	4	5	7
2026-05-31_183612_1547137	ScanNet	scene0237_00	objects-only	10	16	0.530367	0.475583	0.777778	0.700000	0.736842	0.681507	7	2	3	0.500000	0.500000	0.500000	0.787981	5	5	5	0.272727	0.300000	0.285714	0.901189	3	8	7
2026-05-31_183612_1547137	ScanNet	scene0237_01	objects-only	9	14	0.712554	0.612549	0.800000	0.888889	0.842105	0.752611	8	2	1	0.700000	0.777778	0.736842	0.790111	7	3	2	0.363636	0.444444	0.400000	0.887821	4	7	5
